Fr,n,Lifetime
200,100,88445568.46
200,200,44222784.23
200,300,29481856.15
200,400,22111392.12
200,500,17689113.69
200,600,14740928.08
200,700,12635081.21
200,800,11055696.06
200,900,9827285.384
200,1000,8844556.846
200,1100,8040506.224
200,1200,7370464.038
200,1300,6803505.266
200,1400,6317540.604
200,1500,5896371.231
200,1600,5527848.029
200,1700,5202680.498
200,1800,4913642.692
200,1900,4655029.919
200,2000,4422278.423
200,2100,4211693.736
200,2200,4020253.112
200,2300,3845459.498
200,2400,3685232.019
200,2500,3537822.738
200,2600,3401752.633
200,2700,3275761.795
200,2800,3158770.302
200,2900,3049847.188
200,3000,2948185.615
200,3100,2853082.854
200,3200,2763924.014
200,3300,2680168.741
200,3400,2601340.249
200,3500,2527016.242
300,100,22893132.09
300,200,11446566.04
300,300,7631044.03
300,400,5723283.022
300,500,4578626.418
300,600,3815522.015
300,700,3270447.441
300,800,2861641.511
300,900,2543681.343
300,1000,2289313.209
300,1100,2081193.826
300,1200,1907761.007
300,1300,1761010.161
300,1400,1635223.721
300,1500,1526208.806
300,1600,1430820.756
300,1700,1346654.829
300,1800,1271840.672
300,1900,1204901.689
300,2000,1144656.604
300,2100,1090149.147
300,2200,1040596.913
300,2300,995353.5691
300,2400,953880.5037
300,2500,915725.2835
300,2600,880505.0803
300,2700,847893.7811
300,2800,817611.8603
300,2900,789418.3479
300,3000,763104.403
300,3100,738488.1319
300,3200,715410.3778
300,3300,693731.2754
300,3400,673327.4144
300,3500,654089.4882
400,100,8774911.776
400,200,4387455.888
400,300,2924970.592
400,400,2193727.944
400,500,1754982.355
400,600,1462485.296
400,700,1253558.825
400,800,1096863.972
400,900,974990.1973
400,1000,877491.1776
400,1100,797719.2524
400,1200,731242.648
400,1300,674993.2135
400,1400,626779.4126
400,1500,584994.1184
400,1600,548431.986
400,1700,516171.2809
400,1800,487495.0987
400,1900,461837.4619
400,2000,438745.5888
400,2100,417852.9417
400,2200,398859.6262
400,2300,381517.9033
400,2400,365621.324
400,2500,350996.471
400,2600,337496.6068
400,2700,324996.7324
400,2800,313389.7063
400,2900,302583.1647
400,3000,292497.0592
400,3100,283061.6702
400,3200,274215.993
400,3300,265906.4175
400,3400,258085.6405
400,3500,250711.765
500,100,4170704.13
500,200,2085352.065
500,300,1390234.71
500,400,1042676.032
500,500,834140.8259
500,600,695117.3549
500,700,595814.8757
500,800,521338.0162
500,900,463411.57
500,1000,417070.413
500,1100,379154.9209
500,1200,347558.6775
500,1300,320823.3946
500,1400,297907.4378
500,1500,278046.942
500,1600,260669.0081
500,1700,245335.537
500,1800,231705.785
500,1900,219510.7437
500,2000,208535.2065
500,2100,198604.9586
500,2200,189577.4604
500,2300,181334.9622
500,2400,173779.3387
500,2500,166828.1652
500,2600,160411.6973
500,2700,154470.5233
500,2800,148953.7189
500,2900,143817.3838
500,3000,139023.471
500,3100,134538.8429
500,3200,130334.504
500,3300,126384.9736
500,3400,122667.7685
500,3500,119162.9751
600,100,2271286.373
600,200,1135643.186
600,300,757095.4575
600,400,567821.5931
600,500,454257.2745
600,600,378547.7288
600,700,324469.4818
600,800,283910.7966
600,900,252365.1525
600,1000,227128.6373
600,1100,206480.5793
600,1200,189273.8644
600,1300,174714.3363
600,1400,162234.7409
600,1500,151419.0915
600,1600,141955.3983
600,1700,133605.0807
600,1800,126182.5763
600,1900,119541.388
600,2000,113564.3186
600,2100,108156.4939
600,2200,103240.2897
600,2300,98751.58141
600,2400,94636.93219
600,2500,90851.4549
600,2600,87357.16817
600,2700,84121.7175
600,2800,81117.37045
600,2900,78320.21974
600,3000,75709.54575
600,3100,73267.30234
600,3200,70977.69914
600,3300,68826.85977
600,3400,66802.54037
600,3500,64893.89636
700,100,1358676.081
700,200,679338.0403
700,300,452892.0269
700,400,339669.0202
700,500,271735.2161
700,600,226446.0134
700,700,194096.5829
700,800,169834.5101
700,900,150964.009
700,1000,135867.6081
700,1100,123516.0073
700,1200,113223.0067
700,1300,104513.5447
700,1400,97048.29147
700,1500,90578.40538
700,1600,84917.25504
700,1700,79922.12239
700,1800,75482.00448
700,1900,71509.2674
700,2000,67933.80403
700,2100,64698.86098
700,2200,61758.00367
700,2300,59072.87307
700,2400,56611.50336
700,2500,54347.04323
700,2600,52256.77233
700,2700,50321.33632
700,2800,48524.14574
700,2900,46850.89933
700,3000,45289.20269
700,3100,43828.26067
700,3200,42458.62752
700,3300,41172.00244
700,3400,39961.0612
700,3500,38819.31659
800,100,870581.5115
800,200,435290.7558
800,300,290193.8372
800,400,217645.3779
800,500,174116.3023
800,600,145096.9186
800,700,124368.7874
800,800,108822.6889
800,900,96731.27906
800,1000,87058.15115
800,1100,79143.77377
800,1200,72548.45929
800,1300,66967.80858
800,1400,62184.39368
800,1500,58038.76743
800,1600,54411.34447
800,1700,51210.67715
800,1800,48365.63953
800,1900,45820.07955
800,2000,43529.07558
800,2100,41456.26245
800,2200,39571.88689
800,2300,37851.37007
800,2400,36274.22965
800,2500,34823.26046
800,2600,33483.90429
800,2700,32243.75969
800,2800,31092.19684
800,2900,30020.05212
800,3000,29019.38372
800,3100,28083.27456
800,3200,27205.67223
800,3300,26381.25792
800,3400,25605.33857
800,3500,24873.75747
900,100,587896.7126
900,200,293948.3563
900,300,195965.5709
900,400,146974.1781
900,500,117579.3425
900,600,97982.78543
900,700,83985.24465
900,800,73487.08907
900,900,65321.85695
900,1000,58789.67126
900,1100,53445.15569
900,1200,48991.39271
900,1300,45222.82404
900,1400,41992.62233
900,1500,39193.11417
900,1600,36743.54453
900,1700,34582.15956
900,1800,32660.92848
900,1900,30941.93224
900,2000,29394.83563
900,2100,27995.08155
900,2200,26722.57784
900,2300,25560.72663
900,2400,24495.69636
900,2500,23515.8685
900,2600,22611.41202
900,2700,21773.95232
900,2800,20996.31116
900,2900,20272.30043
900,3000,19596.55709
900,3100,18964.41008
900,3200,18371.77227
900,3300,17815.0519
900,3400,17291.07978
900,3500,16797.04893
1000,100,413786.2577
1000,200,206893.1288
1000,300,137928.7526
1000,400,103446.5644
1000,500,82757.25153
1000,600,68964.37628
1000,700,59112.32252
